IAUNAME,name_xmm,name_csc,RA,DEC,GLON,GLAT,POS_ERR,Class,Class_9,ref,eRODat,Simbad,DET_LIKE_0,ML_FLUX_1,ML_FLUX_P1,ML_FLUX_P2,ML_FLUX_P3,ML_FLUX_P4,ML_FLUX_P5,ML_FLUX_P6,ML_FLUX_P7,ML_FLUX_P8,ML_FLUX_P9,HR1_2,HR2_3,HR3_4,HR4_5,HR5_6,HR12_3,HR1_23,HR23_4,HR2_34,HR34_5,HR3_45,HR45_6,HR4_56,HR123_4,HR12_34,HR1_234,HR234_5,HR23_45,HR2_345,HR345_6,HR34_56,HR3_456,HR1234_5,HR123_45,HR12_345,HR1_2345,HR2345_6,HR234_56,HR23_456,HR2_3456,HR12345_6,HR1234_56,HR123_456,HR12_3456,HR1_23456,P_AGN,P_CO,P_CV,P_STAR,Class_prob,Class_prob_e,CT
1eRASS J052522.7+241333,4XMM J052522.6+241333,,81.34470083153428,24.22594072623909,181.540120344101,-6.346706405887095,1.306682,CV,CV,2003A&A...404..301R,"<a target=""_blank"" href=""https://erosita.mpe.mpg.de/dr1/erodat/catalogue/search/?Longitude=81.34470083153428&Latitude=24.22594072623909&CoordSys=icrs&Distance=1.0&DistanceUnit=arcsec&Catalogue=DR1_Main"">eRODat</a>","<a target=""_blank"" href=""https://simbad.cds.unistra.fr/simbad/sim-coo?Coord=81.34470083153428d+24.22594072623909d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=2&Radius.unit=arcmin&submit=submit+query&CoordList="">Simbad</a>",700.11383,1.4897595e-12,2.2454208e-14,3.6854246e-13,9.588788e-13,2.9790309e-12,0.0,3.34401e-12,2.9702996e-14,0.0,0.0,0.9026849003786822,0.31760492036904997,-0.3362296562621613,-0.9292654486469422,0.7469040927281746,0.29500582919518253,0.9656967110178404,-0.5068645986756393,0.48586150609683876,-0.9759561085059504,-0.3201655758290119,-0.607574909723399,-0.5507193647205406,-0.5132642560827845,0.46657876028717415,0.9740450294586097,-0.9820816775024683,-0.49336435575604737,0.4904677557679149,-0.8467609710130365,-0.8245593108117949,-0.2190151303579853,-0.9823121557493912,-0.4998810648469815,0.4712962961911778,0.9742745731968424,-0.8835275350789119,-0.8666527081756495,-0.4063964419859477,0.5201409939891571,-0.8849394979574525,-0.8682692398266065,-0.4135925306842795,0.5017127529871763,0.9757545634584575,TD,TD,TD,TD,1.0,0.0,100000.0
1eRASS J171012.4-280751,4XMM J171012.7-280753,,257.5518042036658,-28.131084529876684,356.35786900438495,6.921937274134576,1.5308479,CO,LMXB,2003A&A...404..301R,"<a target=""_blank"" href=""https://erosita.mpe.mpg.de/dr1/erodat/catalogue/search/?Longitude=257.5518042036658&Latitude=-28.131084529876684&CoordSys=icrs&Distance=1.0&DistanceUnit=arcsec&Catalogue=DR1_Main"">eRODat</a>","<a target=""_blank"" href=""https://simbad.cds.unistra.fr/simbad/sim-coo?Coord=257.5518042036658d+-28.131084529876684d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=2&Radius.unit=arcmin&submit=submit+query&CoordList="">Simbad</a>",244.98186,6.729476e-13,0.0,8.697141e-14,5.2388486e-13,3.5685404e-12,5.0503694e-12,9.205492e-12,8.499655e-13,3.2935232e-12,3.4558756e-12,0.922575905679076,0.6245406378281394,0.041812258357031076,-0.5835822366186677,0.35051881170111093,0.6123511568364414,0.9849933197017537,-0.062044595717524034,0.8006227067469134,-0.7590503187567756,0.15724977381705027,-0.39572641433120787,-0.10512377845718375,-0.06579502098717553,0.7934228965324204,0.9920029774282914,-0.7804332757766356,0.05455023071288802,0.8225110163289641,-0.5993435158078245,-0.40666286064166796,0.32607644515436096,-0.781215175824459,0.0507948671497476,0.8160208641628438,0.992877791016931,-0.6282913246429523,-0.4495320285263645,0.23026617139205738,0.8554981138343788,-0.6293697176408278,-0.45112903404532806,0.2266969503522799,0.8501149836946047,0.9941976441801389,TD,TD,TD,TD,1.0,0.0,100000.0
1eRASS J173953.9-282946,4XMM J173953.8-282945,2CXO J173953.9-282946,264.9748849846291,-28.496355720555147,359.71406538311055,1.2979674593136736,1.1260433,CO,LMXB,2007A&A...469..807L,"<a target=""_blank"" href=""https://erosita.mpe.mpg.de/dr1/erodat/catalogue/search/?Longitude=264.9748849846291&Latitude=-28.496355720555147&CoordSys=icrs&Distance=1.0&DistanceUnit=arcsec&Catalogue=DR1_Main"">eRODat</a>","<a target=""_blank"" href=""https://simbad.cds.unistra.fr/simbad/sim-coo?Coord=264.9748849846291d+-28.496355720555147d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=2&Radius.unit=arcmin&submit=submit+query&CoordList="">Simbad</a>",1291.4786,2.8002902e-12,0.0,3.6073978e-14,2.3380171e-12,1.186662e-11,1.126453e-11,1.5515872e-11,4.857082e-12,3.3337244e-12,0.0,0.8130278207006827,0.9543700154403943,-0.10787420446885229,-0.7106085200612232,0.23350231019238685,0.9497824844344951,0.9953053608378601,-0.11926487531972525,0.974463980510526,-0.8596650210792569,-0.030137452903366578,-0.6222512897616689,-0.38751843897330945,-0.12042303801728506,0.9718675693242081,0.9973700090637799,-0.86133258743516,-0.041662093202077956,0.9762344873854313,-0.797076804084921,-0.670980436374814,0.07438193918411859,-0.8615023071335343,-0.04283503511736982,0.9738157076958697,0.9975521329022431,-0.7992460532915543,-0.6744976559028342,0.06289679497137102,0.9786199976118933,-0.7994671263669015,-0.6748561036714689,0.06172631804130987,0.9764411133857678,0.9977975718139356,TD,TD,TD,TD,1.0,0.0,100000.0
1eRASS J020950.8-631839,4XMM J020950.7-631840,,32.461929309213005,-63.31086527567265,288.88418690595756,-51.62569501567028,0.98853403,CV,CV,2003A&A...404..301R,"<a target=""_blank"" href=""https://erosita.mpe.mpg.de/dr1/erodat/catalogue/search/?Longitude=32.461929309213005&Latitude=-63.31086527567265&CoordSys=icrs&Distance=1.0&DistanceUnit=arcsec&Catalogue=DR1_Main"">eRODat</a>","<a target=""_blank"" href=""https://simbad.cds.unistra.fr/simbad/sim-coo?Coord=32.461929309213005d+-63.31086527567265d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=2&Radius.unit=arcmin&submit=submit+query&CoordList="">Simbad</a>",4663.61,4.266843e-12,6.4232533e-13,1.3610902e-12,1.8408378e-12,2.5384384e-12,9.851376e-13,4.1032815e-12,3.3299673e-13,0.0,0.0,0.5271612345916328,0.00311119529184504,-0.6475675712055409,-0.864658421171816,0.6510784760228627,-0.1309999062680706,0.7326097003216131,-0.8062145983549844,0.09970244399973961,-0.97474261885668,-0.6267609501528847,-0.5149051703233524,-0.4123903415600816,-0.8299195299423502,-0.034819408421454964,0.7553486342506911,-0.9860327975059507,-0.7936007158335185,0.10598976313451636,-0.8872227646307675,-0.8633896122964528,-0.5350301488704506,-0.987730863887459,-0.8186937640484203,-0.028471238334543892,0.7568494647039398,-0.9360221401004076,-0.9225017334685351,-0.736225348176816,0.1345881939760069,-0.9435808479201774,-0.9316578189357472,-0.7673891840181839,0.0005414992681160631,0.7637086382185191,TD,TD,TD,TD,1.0,0.0,100000.0
1eRASS J035154.6-370343,4XMM J035154.5-370343,,57.9776191572779,-37.06211888670256,239.24561341915768,-50.892123038117624,1.0054213,AGN,AGN,2010A&A...518A..10V,"<a target=""_blank"" href=""https://erosita.mpe.mpg.de/dr1/erodat/catalogue/search/?Longitude=57.9776191572779&Latitude=-37.06211888670256&CoordSys=icrs&Distance=1.0&DistanceUnit=arcsec&Catalogue=DR1_Main"">eRODat</a>","<a target=""_blank"" href=""https://simbad.cds.unistra.fr/simbad/sim-coo?Coord=57.9776191572779d+-37.06211888670256d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=2&Radius.unit=arcmin&submit=submit+query&CoordList="">Simbad</a>",3295.4368,2.3204143e-12,7.759488e-13,7.323489e-13,6.8336493e-13,7.323534e-13,0.0,3.8143298e-13,0.0,0.0,1.9106828e-13,0.16363393316990588,-0.17893215849420674,-0.7019978129461903,-0.9307887927907096,0.6072050804318093,-0.42327816280445746,0.40480922048503676,-0.865880096375533,-0.09987302475569283,-0.9893745418080319,-0.6929555596440499,-0.7519328188423409,-0.6913061261715142,-0.903875224946853,-0.35487201618564,0.4334155103823284,-0.9952038565101559,-0.8614055820370023,-0.0972354503320243,-0.9574486365271614,-0.9470492422019892,-0.6569367759631614,-0.9965602299403905,-0.9006007784488508,-0.35254179208770103,0.43438997056414125,-0.9805662336374183,-0.9758166937135858,-0.8433185214433463,-0.08657374163877697,-0.9860237938386087,-0.9826080612467497,-0.8873191842937997,-0.3430900906236433,0.43834251175331446,TD,TD,TD,TD,1.0,0.0,100000.0
1eRASS J042840.3-375620,4XMM J042840.4-375619,,67.16829910486076,-37.93901216785377,240.7082821099326,-43.61828411893042,1.2043111,AGN,AGN,2018ApJS..235....4O,"<a target=""_blank"" href=""https://erosita.mpe.mpg.de/dr1/erodat/catalogue/search/?Longitude=67.16829910486076&Latitude=-37.93901216785377&CoordSys=icrs&Distance=1.0&DistanceUnit=arcsec&Catalogue=DR1_Main"">eRODat</a>","<a target=""_blank"" href=""https://simbad.cds.unistra.fr/simbad/sim-coo?Coord=67.16829910486076d+-37.93901216785377d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=2&Radius.unit=arcmin&submit=submit+query&CoordList="">Simbad</a>",814.78845,7.3418913e-13,1.3967634e-13,2.4008147e-13,3.0667287e-13,3.503297e-13,0.0,0.0,2.1056132e-13,0.0,0.0,0.4315942382193769,-0.024898655065000653,-0.6790414794134652,-0.7369765948274312,-0.2162935151381361,-0.18975504740044094,0.6618681879750056,-0.8294945144587816,0.06247676634119914,-0.9525515689767035,-0.6392075375028633,-0.843762783202663,-0.6012864004184544,-0.8562492515611548,-0.10424095813908733,0.6861715384997936,-0.9745100989887303,-0.8061776974216741,0.07442545355206329,-0.9698873961231397,-0.9231533630038347,-0.6145271338784696,-0.9784667636513819,-0.8362637246332488,-0.09235201737037055,0.6895504097169972,-0.9837096167711694,-0.9584273358878692,-0.7914660339864911,0.08196443558630725,-0.9862208667205247,-0.9648359850386995,-0.8236126633342551,-0.08482618535264544,0.6916892728575312,TD,TD,TD,TD,1.0,0.0,100000.0
1eRASS J050349.2-282307,4XMM J050349.2-282307,,75.95516700497144,-28.38550857169096,230.04648730190198,-34.82536632164435,1.2417501,CV,CV,2003A&A...404..301R,"<a target=""_blank"" href=""https://erosita.mpe.mpg.de/dr1/erodat/catalogue/search/?Longitude=75.95516700497144&Latitude=-28.38550857169096&CoordSys=icrs&Distance=1.0&DistanceUnit=arcsec&Catalogue=DR1_Main"">eRODat</a>","<a target=""_blank"" href=""https://simbad.cds.unistra.fr/simbad/sim-coo?Coord=75.95516700497144d+-28.38550857169096d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=2&Radius.unit=arcmin&submit=submit+query&CoordList="">Simbad</a>",860.2333,1.026828e-12,1.7283607e-13,2.4390174e-13,5.3248763e-13,1.0581191e-12,7.726415e-13,1.6727376e-12,7.076634e-13,0.0,0.0,0.34978654598715797,0.26558690553107445,-0.5380199017626417,-0.7128418902363209,0.3671537079900805,0.07536624972886623,0.6993953477696793,-0.6805674079914225,0.38288464471669903,-0.9254365006349224,-0.48067982877836396,-0.5265108009043588,-0.30733582284359096,-0.721902946605025,0.20393521043883994,0.7411939817807158,-0.9478436566843299,-0.6367412826432592,0.39897788488446284,-0.8509251923768156,-0.7819194626735182,-0.3703137984650319,-0.9544390949018119,-0.682677218235744,0.2220699266034425,0.7470896999981802,-0.8933345884189193,-0.8439598840164141,-0.5494494413608145,0.4310320205235282,-0.9061903081564846,-0.8627664302919827,-0.6037515025783445,0.2585586168340097,0.758952418651791,TD,TD,TD,TD,1.0,0.0,100000.0
1eRASS J051213.3-324139,4XMM J051213.2-324139,,78.05561380700368,-32.694351135584256,235.64413427318843,-34.091137474180634,1.1854843,CV,CV,2005JAD....11....2D,"<a target=""_blank"" href=""https://erosita.mpe.mpg.de/dr1/erodat/catalogue/search/?Longitude=78.05561380700368&Latitude=-32.694351135584256&CoordSys=icrs&Distance=1.0&DistanceUnit=arcsec&Catalogue=DR1_Main"">eRODat</a>","<a target=""_blank"" href=""https://simbad.cds.unistra.fr/simbad/sim-coo?Coord=78.05561380700368d+-32.694351135584256d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=2&Radius.unit=arcmin&submit=submit+query&CoordList="">Simbad</a>",728.272,8.0821114e-13,2.207948e-13,2.0462339e-13,3.5257788e-13,5.0191703e-13,5.916247e-13,2.3194023e-13,4.496928e-13,0.0,0.0,0.15160074288145592,0.12429758970588961,-0.617107069555069,-0.5640181040495907,-0.14717230107063234,-0.14991493090309757,0.512206513436145,-0.7650636452641925,0.227164755759819,-0.8986732166457365,-0.535178940706342,-0.7210841414542785,-0.345903377913569,-0.8171244532829485,-0.044769270069595336,0.5568092637063359,-0.9365862050462405,-0.709098953223633,0.2516689636154618,-0.9274060990683605,-0.8297571689503677,-0.47945662673935424,-0.9502891346933847,-0.7719590388116957,-0.018801077839135077,0.5678249612048529,-0.953942726700641,-0.8919892649894485,-0.6697407344314983,0.2689020071460394,-0.963714565021424,-0.9149055899002145,-0.7398108865679448,-0.0003172577061175872,0.5756657908396353,TD,TD,TD,TD,1.0,0.0,100000.0
1eRASS J053954.2-283955,4XMM J053954.2-283956,2CXO J053954.2-283956,84.97597126590453,-28.665536836161248,232.9398846126952,-27.292704278156236,1.2737134,AGN,AGN,2018ApJS..235....4O,"<a target=""_blank"" href=""https://erosita.mpe.mpg.de/dr1/erodat/catalogue/search/?Longitude=84.97597126590453&Latitude=-28.665536836161248&CoordSys=icrs&Distance=1.0&DistanceUnit=arcsec&Catalogue=DR1_Main"">eRODat</a>","<a target=""_blank"" href=""https://simbad.cds.unistra.fr/simbad/sim-coo?Coord=84.97597126590453d+-28.665536836161248d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=2&Radius.unit=arcmin&submit=submit+query&CoordList="">Simbad</a>",633.27594,8.6196317e-13,1.1843494e-13,2.8926636e-13,3.69679e-13,6.8328047e-13,7.6214816e-13,2.2809363e-12,0.0,4.3442707e-13,1.207617e-12,0.5525266514617635,-0.015382258773451101,-0.534089084836189,-0.6035062222373129,0.4924710940636227,-0.14106811541219413,0.7447012147431454,-0.7398614934243187,0.11668775342693258,-0.8910703041529967,-0.4505351561294822,-0.2634421222774354,-0.01296865225429183,-0.7692365906310087,-0.00940973109481038,0.774158023789962,-0.9376806971029059,-0.6856480157204686,0.1442114551503824,-0.7238961067571015,-0.6300043674666594,-0.25028595418295935,-0.9445226529562725,-0.72016031446056,0.01858995588582082,0.7804225806355848,-0.8321225876649258,-0.7750342864222766,-0.5441569022270162,0.2160452383580586,-0.8491635959131361,-0.7978702506375861,-0.59042891631748,0.09260613688027748,0.7969827148133859,TD,TD,TD,TD,1.0,0.0,100000.0
1eRASS J054324.1-404809,4XMM J054323.9-404810,,85.85053003289865,-40.80262167715444,246.51389283893863,-29.671959685732027,1.546359,AGN,AGN,2010A&A...518A..10V,"<a target=""_blank"" href=""https://erosita.mpe.mpg.de/dr1/erodat/catalogue/search/?Longitude=85.85053003289865&Latitude=-40.80262167715444&CoordSys=icrs&Distance=1.0&DistanceUnit=arcsec&Catalogue=DR1_Main"">eRODat</a>","<a target=""_blank"" href=""https://simbad.cds.unistra.fr/simbad/sim-coo?Coord=85.85053003289865d+-40.80262167715444d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=2&Radius.unit=arcmin&submit=submit+query&CoordList="">Simbad</a>",212.89703,2.7624086e-13,4.662275e-14,7.506276e-14,1.4136667e-13,2.1691347e-13,0.0,0.0,0.0,0.0,0.0,0.39636853444772263,0.16638427273899234,-0.5841403239504513,-0.5952277535957918,-0.22989556379040055,-0.011689906379531472,0.6946560695638386,-0.7344604459059043,0.27706324699034895,-0.8997682154344553,-0.5047497181145545,-0.7750561072060828,-0.4158093832024253,-0.7703457486342582,0.10447953765240289,0.7297178354405335,-0.9348180445314499,-0.6779326841324042,0.3006244626109757,-0.939148956769207,-0.8419667765315111,-0.4589669230402983,-0.9433774171669993,-0.7202249742367113,0.12983287843136493,0.7373698725660591,-0.9600022691309806,-0.8961238788186041,-0.6443759341742745,0.3146111798714067,-0.9651630866689009,-0.9095267818412682,-0.690261310067973,0.14498984673019416,0.741944484059835,TD,TD,TD,TD,1.0,0.0,100000.0
